Dataset,SES,Theta,TBATS,ETS,(DHR-)ARIMA,PR,CatBoost,FFNN,DeepAR,N-BEATS,WaveNet,Transformer
Tourism Yearly,95579.23,90653.60,94121.08,94818.89,95033.24,82682.97,79567.22,79593.22,71471.29,70951.80,69905.47,74316.52
Tourism Quarterly,15014.19,7656.49,9972.42,8925.52,10475.47,9092.58,10267.97,8981.04,9511.37,8640.56,9137.12,9521.67
Tourism Monthly,5302.10,2069.96,2940.08,2004.51,2536.77,2187.28,2537.04,2022.21,1871.69,2003.02,2095.13,2146.98
CIF 2016,581875.97,714818.58,855578.40,642421.42,469059.49,563205.57,603551.30,1495923.44,3200418.00,679034.80,5998224.62,4057973.04
Aus. Electricity Demand,659.60,665.04,370.74,1282.99,1045.92,247.18,241.77,258.76,302.41,213.83,227.50,231.45
Dominick,5.70,5.86,7.08,5.81,7.10,8.19,8.09,5.85,5.23,8.28,5.10,5.18
Bitcoin,5.33e18,5.33e18,9.9e17,1.10e18,3.62e18,6.66e17,1.93e18,1.45e18,1.95e18,1.06e18,2.46e18,2.61e18
Pedestrian Counts,170.87,170.94,222.38,216.50,635.16,44.18,43.41,46.41,44.78,66.84,46.46,47.29
Vehicle Trips,29.98,30.76,21.21,30.95,30.07,27.24,22.61,22.93,22.00,28.16,24.15,28.01
KDD Cup,42.04,42.06,39.20,44.88,52.20,36.85,34.82,37.16,48.98,49.10,37.08,44.46
Weather,2.24,2.51,2.30,2.35,2.45,8.17,2.51,2.09,2.02,2.34,2.29,2.03
NN5 Daily,6.63,3.80,3.70,3.72,4.41,5.47,4.22,4.06,3.94,4.92,3.97,4.16
NN5 Weekly,15.66,15.30,14.98,15.70,15.38,14.94,15.29,15.02,14.69,14.19,19.34,20.34
Kaggle Daily,363.43,358.73,415.40,403.23,340.36,-,-,-,-,-,-,
Kaggle Weekly,2337.11,2373.98,2241.84,2668.28,3115.03,4051.75,10715.36,2025.23,2272.58,2051.30,2025.50,3100.32
Solar 10 Minutes,3.28,3.29,8.77,3.28,2.37,3.28,5.69,3.28,3.28,3.52,-,3.28
Solar Weekly,1202.39,1210.83,908.65,1131.01,839.88,1044.98,1513.49,1050.84,721.59,1172.64,1996.89,576.35
Electricity Hourly,845.97,846.03,574.30,1344.61,868.20,537.38,407.14,354.39,329.75,350.37,286.56,398.80
Electricity Weekly,74149.18,74111.14,24347.24,67737.82,28457.18,44882.52,34518.43,27451.83,50312.05,32991.72,61429.32,76382.47
Carparts,0.55,0.53,0.58,0.56,0.56,0.41,0.53,0.39,0.39,0.98,0.40,0.39
FRED-MD,2798.22,3492.84,1989.97,2041.42,2957.11,8921.94,2475.68,2339.57,4264.36,2557.80,2508.40,4666.04
Traffic Hourly,0.03,0.03,0.04,0.03,0.04,0.02,0.02,0.01,0.01,0.02,0.02,0.01
Traffic Weekly,1.12,1.13,1.17,1.14,1.22,1.13,1.17,1.15,1.18,1.11,1.20,1.42
Rideshare,6.29,7.62,6.45,6.29,3.37,6.30,6.07,6.59,6.28,5.55,2.75,6.29
Hospital,21.76,18.54,17.43,17.97,19.60,19.24,19.17,22.86,18.25,20.18,19.35,36.19
COVID Deaths,353.71,321.32,96.29,85.59,85.77,347.98,475.15,144.14,201.98,158.81,1049.48,408.66
Temperature Rain,8.18,8.22,7.14,8.21,7.19,6.13,6.76,5.56,5.37,7.28,5.81,5.24
Sunspot,4.93,4.93,2.57,4.93,2.57,3.83,2.27,7.97,0.77,14.47,0.17,0.13
Saugeen River Flow,21.50,21.49,22.26,30.69,22.38,25.24,21.28,22.98,23.51,27.92,22.17,28.06
US Births,1192.20,586.93,399.00,419.73,526.33,574.93,441.70,557.87,424.93,422.00,504.40,452.87